District,Year,flowering_tmax_mean,flowering_tmin_mean,flowering_tmax_max,flowering_tmax_std,flowering_day_night_diff,flowering_rainfall_total,flowering_rainy_days,flowering_extreme_heat_days,flowering_heat_stress_days,grain_filling_tmax_mean,grain_filling_tmin_mean,grain_filling_tmax_max,grain_filling_tmax_std,grain_filling_day_night_diff,grain_filling_rainfall_total,grain_filling_rainy_days,grain_filling_extreme_heat_days,grain_filling_heat_stress_days,maturation_tmax_mean,maturation_tmin_mean,maturation_tmax_max,maturation_tmax_std,maturation_day_night_diff,maturation_rainfall_total,maturation_rainy_days,maturation_extreme_heat_days,seasonal_tmax_mean,seasonal_tmin_mean,seasonal_rainfall_total
Karnal,2015,26.176785714285717,10.312142857142858,31.14,2.47239283342096,15.864642857142858,14.08,10,0,2,26.393571428571427,11.765357142857141,31.14,3.094942366824987,14.628214285714288,94.92999999999998,16,0,3,31.588076923076926,16.50923076923077,36.56,3.5951233850656856,15.078846153846154,44.760000000000005,11,5,27.291049723756906,12.29878453038674,190.40999999999997
Karnal,2016,27.25931034482759,9.999310344827586,32.61,2.946300259931917,17.26,4.96,6,0,8,30.9148275862069,14.367586206896553,34.93,2.1762363000137497,16.547241379310346,23.360000000000003,10,0,20,35.68653846153846,18.599615384615383,41.1,2.9094562272805446,17.086923076923078,2.82,8,16,29.78813186813187,13.38379120879121,31.77
Karnal,2017,26.303928571428575,9.647142857142857,30.7,2.954839519720417,16.656785714285714,2.38,7,0,4,28.055714285714288,11.52357142857143,30.7,1.9156575673496334,16.53214285714286,13.729999999999999,11,0,4,36.42346153846154,18.361538461538462,41.0,3.5372859000173476,18.061923076923076,15.989999999999998,4,17,28.55629834254144,12.550220994475136,94.17
Karnal,2018,27.40892857142858,10.699285714285717,31.99,3.061076232048574,16.709642857142857,7.3100000000000005,5,0,7,31.52678571428572,14.317857142857141,36.5,2.367855810129945,17.208928571428572,1.33,4,2,20,36.165384615384625,18.63769230769231,39.67,2.385986137041422,17.527692307692305,10.01,10,19,28.478618784530383,12.365635359116022,41.55
Karnal,2019,22.582142857142856,8.637142857142857,26.77,1.8530042816261563,13.944999999999999,31.179999999999996,15,0,0,24.571428571428573,10.0325,28.35,1.929904457980036,14.538928571428572,21.16,14,0,0,34.5876923076923,17.13153846153846,40.02,3.7112610338722423,17.456153846153846,3.21,7,13,26.271436464088392,11.781546961325967,138.86
Karnal,2020,23.833448275862064,8.215172413793102,28.69,3.307239111686956,15.618275862068966,23.31,7,0,0,25.61896551724138,11.317241379310344,28.93,2.1300927961469296,14.301724137931034,94.84,17,0,0,30.641538461538463,15.599615384615383,35.24,2.6898099446729575,15.041923076923078,17.21,8,1,25.87835164835165,11.418736263736264,195.51
Karnal,2021,27.215714285714284,11.181785714285713,33.41,3.1187906352390864,16.03392857142857,12.919999999999998,4,0,6,31.258214285714285,14.421428571428573,34.61,2.407865281040493,16.836785714285714,4.559999999999999,8,0,19,36.15153846153846,18.160000000000004,40.13,1.8664119423271854,17.991538461538465,2.0,4,20,27.6385635359116,12.309999999999999,58.58
Karnal,2022,21.91607142857143,8.129285714285714,25.69,2.9023519699843368,13.786785714285715,28.95,9,0,0,27.0325,11.57714285714286,35.6,3.5477072669333714,15.45535714285714,7.15,5,1,7,38.534615384615385,19.54269230769231,42.57,2.1984835332914927,18.99192307692308,0.0,0,26,27.033093922651933,12.475856353591158,131.32999999999998
Ludhiana,2010,25.909642857142863,10.254285714285713,33.09,3.1991636431844213,15.655357142857145,11.62,10,0,5,30.316071428571426,13.332142857142856,36.0,3.165170803753127,16.98392857142857,3.9300000000000006,11,2,16,39.10923076923077,21.131923076923076,42.02,1.430778593848603,17.977307692307694,0.04,2,26,29.111767955801103,13.55403314917127,40.91
Ludhiana,2011,23.564285714285713,9.597857142857142,28.05,2.3112325212309917,13.966428571428574,28.189999999999994,15,0,0,25.896071428571428,10.990357142857144,35.25,3.9761887011686943,14.905714285714286,17.65,15,1,5,34.46923076923077,17.279615384615383,38.12,2.0253373508172374,17.189615384615387,7.03,9,8,27.095414364640888,12.132762430939227,63.230000000000004
